Location;Size;Customer_Segment;Loan_Type;Profit
suburban;medium;SME;mortgage;14910
city;medium;corporate;business;20152
rural;medium;corporate;business;13764
rural;small;retail;personal;14099
rural;large;corporate;personal;21623
city;medium;SME;personal;23379
city;small;SME;personal;14602
suburban;medium;corporate;personal;16506
city;medium;corporate;business;14983
rural;small;retail;business;10494
rural;large;corporate;mortgage;18182
city;large;retail;business;12572
rural;small;retail;business;15207
rural;large;SME;personal;20865
city;small;SME;business;10715
city;small;SME;personal;17105
rural;small;SME;mortgage;17415
rural;large;corporate;mortgage;19284
rural;small;SME;business;11606
suburban;medium;corporate;mortgage;17350
suburban;large;SME;business;25824
suburban;large;corporate;mortgage;14781
city;large;retail;personal;13813
suburban;large;corporate;personal;21533
city;medium;corporate;personal;20468
city;large;SME;personal;21244
suburban;large;corporate;business;19263
suburban;small;retail;mortgage;13439
suburban;large;retail;business;25196
rural;medium;SME;personal;23294
suburban;medium;retail;business;11795
rural;medium;corporate;mortgage;14185
city;medium;retail;business;12196
rural;large;SME;mortgage;20185
suburban;large;corporate;business;22161
city;medium;SME;mortgage;11446
city;medium;corporate;mortgage;22001
city;large;retail;personal;24850
rural;medium;SME;mortgage;10783
suburban;small;SME;personal;12144
city;medium;corporate;personal;15741
city;medium;SME;personal;16420
city;small;corporate;business;24869
rural;small;corporate;business;20192
rural;large;corporate;business;18557
suburban;large;corporate;business;23337
rural;small;retail;mortgage;9645
city;small;corporate;mortgage;16089
suburban;large;SME;business;17353
city;medium;retail;mortgage;19541
city;small;SME;mortgage;10932
rural;large;retail;personal;20486
suburban;medium;corporate;personal;11257
rural;small;retail;personal;21838
rural;medium;retail;personal;13085
suburban;large;SME;mortgage;15137
city;small;SME;business;11616
city;medium;corporate;mortgage;20759
suburban;small;retail;mortgage;19191
city;medium;retail;mortgage;9492
suburban;large;retail;personal;20998
suburban;large;corporate;personal;19311
rural;small;corporate;personal;19924
suburban;medium;corporate;business;18388
rural;small;corporate;mortgage;20015
city;small;corporate;business;17474
city;medium;SME;personal;20572
city;medium;retail;business;24885
city;medium;retail;mortgage;18738
rural;large;retail;mortgage;13458
city;small;retail;personal;22979
suburban;small;retail;personal;19755
suburban;large;retail;business;20297
suburban;medium;retail;personal;20444
rural;large;retail;personal;23607
city;large;SME;mortgage;23367
city;large;retail;personal;20582
city;small;SME;personal;18967
rural;large;corporate;mortgage;24395
suburban;small;retail;mortgage;10243
suburban;small;corporate;business;24143
city;small;corporate;personal;17866
suburban;medium;corporate;mortgage;19685
suburban;small;SME;business;16660
rural;small;corporate;business;14951
rural;medium;corporate;personal;14258
rural;small;corporate;personal;17048
rural;large;retail;business;23912
city;large;retail;mortgage;24609
rural;small;SME;business;16186
suburban;medium;SME;personal;15102
city;large;retail;mortgage;24646
suburban;medium;SME;mortgage;17561
suburban;medium;retail;business;18577
suburban;large;corporate;personal;20693
rural;medium;corporate;business;24489
rural;large;SME;business;24201
city;medium;retail;business;19975
city;large;retail;mortgage;10619
rural;small;SME;mortgage;8382
suburban;large;retail;personal;18488
city;large;corporate;personal;15142
rural;large;SME;business;24960
rural;large;SME;business;22117
rural;medium;retail;business;10296
suburban;small;SME;personal;21406
rural;large;retail;mortgage;22622
rural;medium;retail;mortgage;15936
rural;small;retail;business;11395
rural;small;retail;business;15093
city;small;retail;business;10929
city;small;SME;business;15866
rural;large;corporate;personal;18711
suburban;large;corporate;mortgage;13212
city;medium;SME;business;13409
rural;medium;SME;personal;16699
city;medium;corporate;business;22217
city;small;corporate;business;14423
suburban;small;corporate;mortgage;18711
rural;large;corporate;business;23782
rural;small;corporate;mortgage;21917
suburban;small;retail;mortgage;14476
suburban;small;SME;mortgage;15594
rural;medium;retail;personal;13158
rural;medium;corporate;personal;23928
suburban;large;corporate;mortgage;22474
city;small;corporate;business;14667
city;small;retail;mortgage;20363
suburban;large;retail;business;21493
city;small;corporate;mortgage;15473
suburban;small;retail;business;15236
city;medium;retail;personal;17777
city;large;corporate;business;23807
rural;large;retail;mortgage;20924
rural;large;SME;personal;11968
city;large;SME;business;18217
city;medium;SME;business;14619
rural;medium;SME;business;11136
rural;small;corporate;business;17655
rural;small;corporate;business;13083
suburban;small;corporate;personal;13009
city;small;SME;personal;12826
rural;medium;SME;personal;18910
city;large;retail;personal;18648
suburban;medium;retail;mortgage;22039
suburban;small;SME;personal;10717
rural;medium;SME;business;23575
suburban;large;SME;business;15967
city;large;SME;personal;13369
rural;medium;retail;business;12638
city;medium;SME;personal;20695
city;medium;retail;business;19635
suburban;small;SME;mortgage;13722
suburban;medium;SME;mortgage;19529
suburban;medium;SME;personal;19852
suburban;medium;retail;personal;19628
suburban;large;retail;personal;13944
rural;large;corporate;business;18618
city;small;SME;personal;13447
city;small;corporate;mortgage;11176
city;large;corporate;business;13696
city;large;retail;personal;22797
suburban;large;retail;business;13287
city;medium;corporate;business;18932
rural;medium;SME;personal;18153
rural;large;retail;business;17927
city;medium;SME;mortgage;12818
city;medium;SME;mortgage;18358
rural;small;corporate;business;16189
rural;large;corporate;personal;23810
suburban;large;corporate;business;13676
rural;medium;corporate;mortgage;12243
suburban;large;retail;business;19292
suburban;small;retail;business;19844
suburban;small;corporate;mortgage;12922
suburban;small;retail;business;12824
suburban;large;corporate;business;23598
city;large;SME;personal;20171
rural;large;SME;personal;11951
suburban;large;SME;mortgage;10128
rural;large;corporate;mortgage;19321
rural;small;SME;mortgage;15278
suburban;medium;retail;personal;12196
city;small;SME;mortgage;20622
suburban;large;SME;mortgage;13174
city;small;SME;mortgage;12929
rural;large;retail;personal;11765
city;large;corporate;business;16869
city;small;retail;mortgage;21472
city;large;corporate;business;20807
rural;medium;corporate;mortgage;13456
rural;large;SME;business;20695
city;medium;corporate;personal;11192
city;medium;retail;personal;12662
suburban;large;retail;mortgage;10105
city;small;corporate;business;25659
suburban;medium;SME;personal;12008
city;small;SME;mortgage;11161
suburban;medium;retail;mortgage;22080
rural;large;SME;personal;17845
city;large;corporate;personal;25688
city;medium;corporate;mortgage;23715
city;large;retail;business;15199
city;medium;corporate;business;25077
suburban;large;retail;business;23102
city;small;corporate;mortgage;13286
rural;large;retail;personal;18256
rural;small;SME;mortgage;11700
city;large;corporate;personal;25712
rural;small;corporate;business;11413
city;large;retail;business;20908
city;small;retail;personal;14520
rural;medium;corporate;personal;19593
city;medium;retail;mortgage;10772
rural;small;corporate;business;19652
suburban;large;SME;mortgage;12280
city;small;retail;mortgage;22391
suburban;large;corporate;mortgage;22996
rural;medium;SME;business;16923
suburban;large;SME;mortgage;22438
suburban;medium;corporate;mortgage;11871
rural;large;retail;mortgage;21734
suburban;large;corporate;mortgage;10660
suburban;large;SME;mortgage;15742
rural;small;corporate;mortgage;18827
suburban;small;retail;business;19521
rural;medium;SME;mortgage;20146
suburban;medium;corporate;personal;20142
rural;small;retail;mortgage;8132
rural;medium;SME;mortgage;8699
suburban;small;retail;business;23534
suburban;large;SME;business;18470
suburban;medium;corporate;personal;19730
city;medium;retail;personal;24162
city;small;SME;business;16797
city;medium;retail;business;23339
rural;medium;retail;mortgage;15312
suburban;large;corporate;business;24192
rural;medium;retail;personal;12557
city;large;SME;mortgage;12679
suburban;small;SME;personal;19530
rural;medium;SME;mortgage;17065
suburban;large;SME;business;19275
rural;small;corporate;personal;9922
suburban;medium;retail;mortgage;18867
city;small;corporate;mortgage;12680
city;medium;retail;business;14816
suburban;small;retail;business;21167
rural;small;retail;business;15196
city;large;corporate;personal;21083
city;small;retail;mortgage;19910
city;medium;corporate;business;23899
suburban;medium;SME;personal;9614
suburban;large;SME;personal;23869
rural;medium;retail;personal;19163
rural;medium;corporate;business;21757
rural;medium;SME;business;21268
suburban;small;corporate;mortgage;13070
suburban;small;corporate;mortgage;22701
rural;medium;retail;business;9270
rural;large;SME;personal;21758
suburban;small;retail;personal;10468
rural;large;retail;personal;23208
city;medium;SME;mortgage;19082
suburban;medium;SME;personal;20546
rural;small;corporate;mortgage;20327
suburban;medium;SME;mortgage;22770
city;small;corporate;personal;24524
suburban;medium;corporate;personal;22781
suburban;medium;corporate;business;24800
suburban;small;SME;business;13107
suburban;small;retail;personal;18775
city;small;corporate;mortgage;21765
suburban;medium;retail;mortgage;11075
suburban;medium;retail;mortgage;20098
rural;large;SME;mortgage;9289
suburban;small;retail;mortgage;15620
rural;medium;retail;business;19672
city;medium;SME;personal;16614
city;small;corporate;business;14252
city;large;retail;mortgage;17415
city;small;SME;mortgage;15771
rural;large;retail;mortgage;8778
suburban;medium;retail;mortgage;19116
city;large;corporate;personal;12080
suburban;medium;retail;mortgage;12958
rural;small;SME;personal;16445
rural;small;retail;mortgage;11276
rural;small;corporate;personal;16497
city;large;corporate;business;17276
suburban;medium;SME;mortgage;9324
suburban;small;corporate;personal;12832
suburban;small;retail;business;17891
rural;medium;corporate;mortgage;23401
city;small;SME;mortgage;14445
rural;medium;corporate;mortgage;9880
rural;medium;corporate;personal;21088
suburban;medium;corporate;personal;19365
rural;medium;SME;business;20419
suburban;medium;corporate;personal;16034
city;large;corporate;personal;25426
suburban;small;retail;mortgage;21745
city;large;SME;mortgage;13656
suburban;small;corporate;mortgage;20080
rural;large;SME;mortgage;13307
rural;medium;corporate;mortgage;14134
city;small;corporate;mortgage;18075
city;small;corporate;mortgage;15310
city;large;retail;business;20033
suburban;large;retail;business;16434
suburban;small;retail;business;19179
city;large;SME;business;24251
rural;large;SME;mortgage;22131
suburban;large;retail;business;13609
suburban;medium;SME;mortgage;12582
suburban;medium;corporate;business;24322
city;large;corporate;personal;24207
city;large;corporate;business;23490
city;medium;retail;business;13740
city;medium;SME;mortgage;19680
city;small;retail;business;16028
rural;small;SME;personal;19606
rural;medium;corporate;mortgage;10349
city;large;retail;mortgage;18497
suburban;large;SME;business;22805
city;large;SME;mortgage;13249
rural;large;corporate;mortgage;22656
rural;small;retail;mortgage;13680
suburban;medium;retail;mortgage;17327
rural;large;retail;mortgage;22222
city;small;corporate;mortgage;9705
suburban;large;retail;personal;16852
city;medium;corporate;business;16091
city;small;corporate;personal;13450
suburban;medium;corporate;mortgage;16214
city;medium;SME;mortgage;23697
rural;small;retail;business;12311
city;small;retail;personal;20814
suburban;small;corporate;business;21791
suburban;small;corporate;personal;19743
suburban;small;retail;mortgage;12641
city;small;corporate;business;23500
suburban;small;retail;business;17501
suburban;large;SME;mortgage;12208
city;medium;corporate;business;13491
rural;small;retail;personal;15963
city;large;corporate;personal;23334
suburban;large;retail;personal;21778
suburban;large;retail;personal;19514
city;medium;corporate;mortgage;13273
rural;small;SME;business;23367
suburban;large;retail;personal;14038
suburban;medium;retail;mortgage;22497
suburban;medium;retail;business;22041
city;medium;SME;business;19712
suburban;large;SME;mortgage;18668
rural;small;corporate;mortgage;11722
suburban;large;SME;personal;13551
suburban;large;corporate;business;23797
rural;small;corporate;business;20465
suburban;small;SME;mortgage;18744
city;small;corporate;business;13832
city;medium;SME;personal;22099
city;small;corporate;business;16679
rural;large;SME;mortgage;15579
suburban;small;SME;mortgage;21422
city;large;corporate;personal;11652
rural;medium;retail;personal;13754
suburban;large;corporate;business;22656
rural;large;SME;business;21608
city;small;retail;mortgage;11300
city;small;corporate;personal;24144
city;large;corporate;personal;16810
rural;small;corporate;personal;18444
rural;medium;retail;business;11610
city;medium;SME;personal;22067
rural;small;corporate;mortgage;9104
city;medium;corporate;mortgage;20728
city;small;corporate;business;24182
suburban;large;corporate;business;24899
rural;large;corporate;personal;17361
city;medium;SME;business;15199
city;small;SME;mortgage;12854
rural;small;corporate;personal;15763
suburban;medium;retail;mortgage;19686
suburban;large;SME;personal;11914
city;medium;retail;business;17865
rural;large;SME;personal;12572
suburban;small;corporate;personal;18198
rural;large;SME;mortgage;9406
rural;medium;corporate;mortgage;22189
city;small;SME;personal;9666
suburban;medium;corporate;business;11008
city;medium;corporate;business;13161
suburban;large;corporate;mortgage;24648
suburban;medium;corporate;business;14164
suburban;large;retail;mortgage;12489
suburban;small;corporate;business;23050
suburban;large;retail;personal;10180
rural;small;retail;mortgage;9524
city;large;corporate;mortgage;13120
rural;medium;retail;personal;13260
suburban;large;SME;mortgage;22369
city;large;corporate;business;16857
suburban;small;retail;business;10363
city;medium;corporate;mortgage;19523
rural;large;corporate;business;13292
city;medium;corporate;mortgage;11538
city;large;retail;personal;13908
city;large;SME;mortgage;18242
city;medium;SME;personal;18752
city;large;retail;business;20791
suburban;medium;corporate;personal;11403
city;large;retail;business;11674
city;small;retail;mortgage;18848
rural;medium;retail;business;11230
city;large;corporate;mortgage;15287
rural;large;retail;mortgage;12660
suburban;small;corporate;personal;21112
city;medium;retail;personal;16606
rural;large;SME;personal;19189
rural;small;retail;personal;19546
suburban;large;retail;business;13671
city;medium;SME;business;12567
city;large;corporate;business;13651
rural;large;corporate;mortgage;17119
city;large;retail;business;17533
rural;large;SME;business;19060
city;small;corporate;business;15946
rural;small;retail;personal;15734
city;medium;SME;business;12907
suburban;small;corporate;mortgage;11990
city;small;corporate;personal;12535
city;medium;SME;mortgage;13673
suburban;small;SME;business;20565
city;small;SME;personal;19516
suburban;medium;SME;mortgage;9793
city;medium;retail;business;15269
rural;medium;SME;mortgage;12796
rural;large;corporate;mortgage;22546
city;large;corporate;mortgage;25211
city;medium;retail;business;17371
city;medium;corporate;business;23078
rural;medium;corporate;mortgage;11472
city;large;SME;personal;14922
rural;large;corporate;personal;14997
suburban;small;retail;business;16032
rural;small;SME;business;9992
rural;medium;SME;business;17612
suburban;large;retail;business;15787
rural;large;SME;business;21078
city;large;SME;personal;13240
city;medium;retail;business;11976
rural;small;SME;mortgage;13926
city;medium;retail;mortgage;20599
rural;small;retail;personal;7889
city;small;corporate;mortgage;10499
city;medium;corporate;personal;23312
rural;small;SME;personal;9855
city;small;SME;mortgage;17125
rural;large;retail;business;23794
city;small;SME;mortgage;17850
city;medium;retail;mortgage;11763
suburban;medium;retail;personal;12163
suburban;small;SME;mortgage;12986
rural;large;retail;personal;10481
suburban;large;corporate;business;18756
rural;small;SME;business;12731
suburban;small;corporate;business;17262
city;medium;SME;mortgage;9951
rural;small;retail;personal;18167
rural;large;SME;business;21914
city;small;corporate;personal;19729
rural;medium;retail;personal;11093
rural;medium;SME;business;10382
suburban;medium;SME;business;14408
rural;medium;SME;personal;12568
city;medium;corporate;business;24627
suburban;small;corporate;personal;19758
suburban;small;SME;personal;11777
city;small;retail;business;18566
city;small;retail;mortgage;21238
suburban;medium;corporate;business;22389
rural;large;retail;mortgage;16451
suburban;small;corporate;personal;20254
city;large;SME;personal;15690
suburban;small;corporate;mortgage;19942
city;small;corporate;personal;23521
suburban;large;SME;mortgage;14095
rural;medium;retail;mortgage;12059
suburban;small;corporate;personal;16291
suburban;small;corporate;mortgage;16660
city;small;SME;business;10612
city;large;retail;business;16631
city;medium;corporate;personal;13697
suburban;large;SME;personal;20570
rural;large;corporate;mortgage;19616
city;medium;SME;mortgage;9639
city;large;retail;mortgage;11424
suburban;medium;retail;mortgage;10949
city;small;retail;business;13168
rural;medium;retail;business;17708
rural;small;corporate;personal;19308
city;large;corporate;mortgage;17043
city;large;retail;mortgage;16989
suburban;small;retail;personal;15236
rural;large;retail;mortgage;14761
rural;medium;corporate;mortgage;9387
city;small;retail;mortgage;11604
suburban;large;retail;mortgage;22629
rural;small;retail;mortgage;7049
rural;medium;SME;personal;12451
suburban;medium;retail;mortgage;11560
suburban;large;SME;personal;10018
rural;medium;SME;mortgage;12821
rural;small;retail;business;14840
suburban;medium;SME;business;18058
rural;small;retail;business;18165
city;small;corporate;business;23253
city;medium;corporate;personal;13106
suburban;large;corporate;personal;18346
suburban;medium;corporate;mortgage;17643
suburban;small;SME;business;15932
city;small;retail;personal;22452
rural;medium;retail;mortgage;20895
city;large;retail;mortgage;13765
rural;large;corporate;personal;12438
city;small;corporate;business;23502
rural;small;retail;mortgage;16741
city;large;corporate;business;18858
suburban;medium;retail;business;21166
city;small;retail;business;18319
rural;small;retail;mortgage;12941
city;large;retail;business;19144
city;medium;retail;mortgage;13855
city;large;retail;business;18047
suburban;medium;retail;mortgage;15196
city;medium;corporate;business;17411
suburban;medium;retail;personal;14981
suburban;small;retail;business;11761
city;large;corporate;business;16956
city;large;corporate;mortgage;23856
city;medium;corporate;mortgage;19607
rural;small;retail;business;14861
city;small;SME;personal;15193
suburban;large;SME;personal;15788
city;small;corporate;mortgage;9701
rural;small;SME;personal;14160
city;medium;corporate;business;22061
rural;small;retail;mortgage;7517
rural;medium;SME;business;17237
city;large;retail;mortgage;23636
suburban;small;SME;mortgage;21723
rural;large;retail;mortgage;18033
city;large;SME;mortgage;23468
city;small;retail;personal;10988
suburban;small;retail;business;20737
rural;large;SME;business;24279
rural;small;retail;business;21212
city;medium;retail;mortgage;23256
city;medium;retail;personal;13302
suburban;small;SME;business;15308
suburban;large;SME;personal;21467
rural;small;retail;mortgage;18846
rural;small;retail;business;15662
city;large;SME;personal;21626
rural;large;SME;mortgage;22065
suburban;medium;retail;personal;14741
suburban;large;retail;business;24614
city;medium;retail;business;18899
suburban;large;corporate;mortgage;15633
suburban;small;SME;mortgage;13755
suburban;medium;corporate;mortgage;19825
suburban;medium;SME;personal;15309
city;medium;SME;personal;14117
city;small;SME;personal;17845
rural;small;SME;mortgage;21750
suburban;small;SME;business;21058
rural;small;SME;business;21506
city;small;SME;personal;22456
city;medium;corporate;personal;12018
city;small;retail;business;24565
city;medium;retail;business;16663
city;small;corporate;personal;12600
city;large;corporate;personal;24737
city;medium;corporate;business;13695
suburban;large;corporate;mortgage;22690
rural;medium;SME;personal;21383
city;large;retail;business;15054
suburban;small;SME;business;20106
suburban;small;retail;business;22725
rural;small;retail;business;11349
city;medium;corporate;mortgage;23445
rural;large;SME;business;12242
city;small;corporate;personal;11306
suburban;large;SME;mortgage;13349
suburban;large;retail;business;22860
suburban;small;corporate;mortgage;21268
suburban;small;corporate;personal;16519
rural;large;retail;business;22847
city;small;retail;personal;22032
city;small;retail;business;23754
rural;small;corporate;business;13695
city;medium;SME;business;16178
suburban;large;corporate;business;14055
city;large;SME;business;14305
suburban;medium;corporate;mortgage;21700
rural;large;corporate;business;18619
city;small;retail;business;19280
rural;large;SME;mortgage;11642
city;small;corporate;mortgage;18869
suburban;medium;corporate;mortgage;23296
rural;small;retail;mortgage;13409
city;large;retail;mortgage;23108
suburban;large;SME;mortgage;14257
rural;large;corporate;business;13994
rural;medium;SME;business;18251
city;medium;corporate;personal;21656
city;large;SME;business;13271
city;small;retail;business;11813
suburban;medium;corporate;mortgage;20107
city;large;SME;mortgage;19301
rural;large;retail;business;12461
rural;medium;retail;personal;12120
city;medium;SME;mortgage;15624
city;medium;corporate;business;19975
rural;small;corporate;business;23260
suburban;small;retail;personal;19120
city;large;corporate;personal;15896
city;medium;corporate;mortgage;19283
rural;small;corporate;personal;21818
city;medium;retail;business;11316
suburban;large;SME;business;18304
rural;small;corporate;personal;15831
city;small;retail;personal;9082
rural;small;retail;personal;9420
city;large;SME;personal;18817
city;medium;corporate;mortgage;21683
city;small;corporate;personal;21336
suburban;large;SME;mortgage;11593
suburban;medium;SME;business;22905
rural;large;retail;personal;16071
city;medium;retail;mortgage;16967
city;large;SME;personal;25597
suburban;medium;corporate;business;18867
city;small;retail;business;15285
suburban;medium;retail;business;20396
city;large;corporate;personal;16437
rural;large;retail;personal;9369
city;medium;corporate;mortgage;11818
city;small;corporate;business;13101
suburban;small;corporate;personal;21977
city;medium;SME;business;14490
city;medium;SME;business;12779
suburban;large;SME;mortgage;17174
rural;small;corporate;mortgage;9364
rural;medium;corporate;mortgage;15794
suburban;small;SME;mortgage;21720
suburban;medium;retail;business;22154
suburban;medium;corporate;mortgage;20534
suburban;small;retail;mortgage;20431
suburban;medium;retail;mortgage;11676
rural;medium;corporate;mortgage;10926
rural;large;corporate;business;19264
suburban;medium;retail;mortgage;16089
city;medium;retail;business;13462
suburban;medium;SME;personal;22559
city;large;SME;business;12859
suburban;small;corporate;business;22048
suburban;large;SME;mortgage;13638
rural;large;SME;personal;11924
city;small;SME;personal;18756
city;large;SME;personal;21409
rural;small;retail;personal;11517
rural;large;corporate;business;21451
rural;small;SME;personal;21804
rural;medium;retail;business;20943
city;large;retail;business;21778
city;large;retail;business;20060
suburban;large;SME;personal;20996
suburban;large;SME;mortgage;17842
rural;medium;corporate;mortgage;9634
rural;large;SME;personal;23291
rural;medium;SME;mortgage;21747
suburban;medium;retail;mortgage;13166
suburban;medium;corporate;business;15619
suburban;medium;SME;business;15694
suburban;small;SME;personal;19476
suburban;small;retail;personal;14136
suburban;large;retail;mortgage;14485
suburban;small;SME;business;13664
rural;small;corporate;personal;10846
rural;large;corporate;personal;15039
rural;large;retail;personal;13897
rural;large;retail;personal;23631
suburban;small;SME;personal;18942
city;small;retail;personal;17252
suburban;large;SME;mortgage;14541
city;medium;corporate;business;22702
rural;large;corporate;business;14901
suburban;medium;SME;personal;10337
rural;medium;retail;business;10184
suburban;large;corporate;business;15926
rural;large;retail;business;11551
city;large;corporate;personal;24125
city;small;SME;personal;11129
city;medium;SME;business;20519
suburban;small;SME;business;11026
city;small;corporate;personal;19865
suburban;large;retail;mortgage;10361
city;small;retail;business;19765
city;large;retail;mortgage;20878
suburban;medium;corporate;business;14870
suburban;large;corporate;mortgage;15283
city;small;corporate;mortgage;17110
suburban;small;corporate;mortgage;19058
city;large;corporate;personal;26424
suburban;large;retail;mortgage;23839
rural;small;corporate;mortgage;19949
rural;medium;corporate;mortgage;19126
rural;medium;retail;business;10993
rural;large;corporate;mortgage;10369
rural;medium;retail;business;10014
city;small;retail;mortgage;18603
rural;large;SME;mortgage;9602
rural;small;SME;personal;20013
rural;small;SME;business;23087
rural;medium;SME;mortgage;8690
suburban;large;corporate;business;20185
city;large;SME;business;12489
rural;medium;retail;personal;14864
rural;small;corporate;personal;15740
rural;small;SME;personal;18748
city;small;retail;personal;21677
suburban;small;corporate;personal;16786
city;large;corporate;personal;19524
suburban;large;SME;personal;10294
rural;medium;corporate;personal;14488
rural;medium;retail;mortgage;11527
city;large;corporate;business;23535
city;large;retail;personal;13412
suburban;small;corporate;personal;18909
suburban;small;SME;business;20288
city;medium;retail;mortgage;13744
suburban;large;corporate;business;13373
city;medium;corporate;business;24355
suburban;large;corporate;personal;13758
city;small;retail;business;12817
city;medium;retail;business;19136
city;medium;retail;personal;13141
suburban;large;SME;personal;14458
suburban;small;SME;personal;22958
suburban;medium;retail;personal;13807
city;small;corporate;business;19933
suburban;medium;SME;business;12041
suburban;small;retail;mortgage;8179
city;large;corporate;mortgage;21659
rural;medium;SME;business;21389
city;medium;corporate;mortgage;15738
suburban;small;corporate;business;15668
city;small;corporate;mortgage;19050
rural;medium;corporate;personal;23427
city;large;SME;mortgage;18197
suburban;small;SME;personal;16533
rural;small;SME;personal;8062
suburban;small;retail;personal;15829
rural;medium;SME;personal;19251
rural;medium;corporate;mortgage;21950
city;medium;SME;business;22961
city;medium;corporate;personal;17852
suburban;large;retail;mortgage;22516
city;large;corporate;personal;18415
city;medium;corporate;mortgage;22543
rural;large;corporate;mortgage;17826
city;small;retail;mortgage;12144
rural;small;SME;business;13970
rural;small;SME;mortgage;20609
rural;medium;retail;mortgage;17827
suburban;small;corporate;business;18003
suburban;large;SME;business;14278
suburban;medium;retail;mortgage;15296
rural;large;SME;business;19514
suburban;small;retail;personal;11074
suburban;small;corporate;personal;22261
city;small;SME;business;21673
suburban;medium;retail;business;23565
suburban;large;SME;mortgage;17812
rural;medium;SME;business;17052
