Loan_Portfolio;Deposit_Portfolio;Profit
2159694,334;1758588,592;836184,6623
36637828,38;29172454,36;14643502,32
73269065,68;58584054,93;29359783,17
17991338,05;14309041,4;7285239,084
52582624,01;41965416,04;20935963,92
6379460,846;5271726,348;2549847,836
20799655,96;16560496,11;8366158,472
2833657,652;2213765,53;1025920,108
79576072,63;63697442,98;31936052,68
23168544,12;18664617,82;9452282,528
35189816,39;28199964,62;14145597,62
92880048,05;74579973,95;37254229,07
70737025,79;56582153,83;28295185,14
4152054,024;3347514,863;1733104,023
17304721,49;13871337,26;6936687,183
62526361,75;50164594,34;25302126,8
58145630,27;46567228,11;23184546,96
24551389,32;19629488,48;9714477,383
93487185,79;74694999,78;37249810,35
61782629,64;49450548,06;24666316,04
54027647,5;43362252,48;21463233,09
59401087,66;47479831,95;23676950,93
73282080,92;58678559,1;29273951,08
31882554,55;25530658,42;12773180,61
40423885,16;32425460,09;16254510,1
21774531,15;17339149,54;8545553,139
19433107,58;15781150,77;7980580,809
94492866,61;75466377,18;37913412,81
74215528,71;59335867,86;29647105,42
49555422,05;39738146,9;20026510,57
23514048,17;18840911,85;9440354,876
26181291,7;21028031,97;10712889,18
6744886,872;5346299,264;2784877,979
44007245,93;35198316,25;17442767,66
31867792,32;25495457,05;12749591,26
69938005,39;56107330,28;28159097,64
38397432,09;30786988,57;15396548,95
18780764,08;15104278,47;7548450,884
3443194,111;2688762,679;1471357,815
7657713,515;6223059,076;3040544,12
68259884,58;54630465,83;27316984,48
45915987,61;36871704,62;18468214,89
54121341,9;43498479,54;21715860,67
89770458,01;71785689,83;35890832,01
99043555,79;79194214,32;39674609,49
22472801,46;17891836,67;8989202,095
66644742,11;53301435,73;26569846,11
27068915,3;21616929,69;10698052,45
3044448,947;2471509,598;1156844,581
76079486,73;60849132,7;30424691,2
32681697,93;26109198,42;13038605,23
38962925,52;31276798,93;15555203,72
59243394,24;47300927,37;23590648,64
83273797,07;66662348,45;33179170,3
63269202,52;50574767,84;25329169,29
87392414,89;69986368,76;34989182,51
28080661,45;22603055,31;11175548,92
80006636,56;63974999,42;31990361,76
19377958,49;15546470,08;7907497,241
95326374,04;76278978,52;38065495,67
69061339,36;55169129,25;27716078,39
22335260,03;17892286,78;8913797,642
94789688,46;75860662,82;37950114,23
73354724,87;58725066,98;29372308,57
26140222,62;20892338,2;10586321,44
22117885,76;17703727,84;8867707,303
52301870,68;41726735,45;20749177,58
3540609,087;2796675,862;1267240,894
21539537,47;17287226,24;8490321,016
43043861,41;34524336,51;17090971,24
38042828,05;30392030,96;15200628,99
46893967,01;37525645,01;18666985,06
28485241,92;22810998,87;11397418,27
59091650,3;47293468,23;23576348,21
86521704,99;69271441,35;34558642,24
12635653,74;9926715,229;4915273,08
52220531,61;41771492,88;20956105
14074742,53;11283697,38;5734763,206
71969108,44;57475253,72;28774744,11
40209910,58;32335327,03;16068681,26
56976709,87;45597523,83;22863125,04
19144703,79;15472103,5;7804941,418
15339928,17;12192890,24;6123909,839
49317571,78;39363327,42;19621301,66
36205661,05;28986954,06;14564362,99
94102762,58;75114341,23;37599452,47
76767200,13;61435256,66;30405942,67
75117698,37;60103880,62;30116385,51
90468254,23;72476169,92;36046710,69
9258821,109;7477161,021;3804936,668
55667054,52;44491895,88;22230540,7
58863130,83;46980755;23609738,67
96231701,48;77156591,7;38568479,73
29922605,15;23858872,62;11840774,88
24842049,21;19769086,91;9869808,09
10929100,28;8634794,621;4423377,94
2626533,33;2212957,195;1109103,259
93023402,36;74366831,87;37171982,42
67321738,11;53782020,04;26965365,37
78730138,29;62997879,61;31519975,74
28891280,47;23092329,9;11545572,21
59054606,45;47175875,62;23724543,81
7331571,346;5940656,223;3125839,515
49077132;39368237,15;19745451,2
97772018,83;78316146,82;39129477,49
87774019,29;70295907,4;35297644,8
34477736,23;27622451,54;13929537,73
96195445,3;76778767,44;38461273,44
23938461,02;19317693,9;9537239,291
94982563,42;76016249,66;38022192,02
94196392,77;75417929,86;37634597,71
80121056,15;64208341,15;32088269,35
63414345,75;50874811,85;25461411,62
87554508,7;70085446,76;35052739,32
30009008,17;24050761,15;11977863,06
85045411,98;67976407,15;34115498,95
62169792,5;49739142,97;24699958,36
2310448,918;1762943,008;954489,8573
35376118,28;28228900,57;13928701,96
15665945,23;12443398,75;6259959,187
98201109,59;78545285,28;39183952,21
48358660,4;38791837,64;19483749,19
50241745,18;40510493,62;20263892,06
64307779,12;51465173,26;25757357,27
37489876,01;29857059,5;14826701,82
14553126,9;11768999,85;5819042,912
82389655,59;65881646,08;32961544,78
19794943,28;15769893,76;7943303,874
51620579,27;41317448,37;20951633,81
23207385,87;18441846,23;9243208,95
10686603,96;8571529,488;4383368,497
86356960,22;69076730,63;34382671,92
97319029,41;77865061,32;38799541,47
96122631,15;76936246,54;38432573,79
90748994,42;72605944,76;36183229,61
77630685,94;62106182,56;31201731,2
33981370,05;27213527,49;13565741,88
9029037,609;7264770,15;3770603,264
41316875,97;32950352,53;16623854,51
23991180,07;19049944,93;9529250,439
14116275,84;11286856,87;5693608,409
6289290,997;4888159,249;2438469,677
72833842,06;58275826,79;29191757,1
2131318,404;1798929,411;947798,8905
77287494,1;61890706,45;30932988,26
15547717,89;12333357,28;6217175,636
8872686,176;7012122,696;3678430,975
9870700,39;7929390,441;4035996,844
67532732,93;53986056,56;27025608,24
25291353,78;20201417,49;10113185,7
42633407,2;34166416,41;16981940,89
56179510,34;44844879,6;22319710,11
86194566,21;68915529,5;34490100,4
72977382,01;58301897,36;29014009,57
27762462,62;22105657,15;10976195,81
14016797,13;11127729,88;5692016,077
6482057,722;5253392,394;2818119,167
30858264,81;24691793,89;12179301,34
26949696,77;21471841,36;10898585,63
46157916,11;36903222,73;18430467,54
68644852,22;54752001,04;27374500,01
69866919,12;55820204,01;27898760,84
29068365,81;23469650,1;11842879,46
38612768,63;30881190,52;15279827,6
18933945,21;15220322,06;7655777,392
79066005,72;63246255,74;31528640,85
6627959,567;5337184,577;2725671,141
70002726,93;56068507,35;28188533,31
78090844,2;62362213,7;31181065,12
77963348,62;62367585,27;31221208,14
26682833,87;21504153,62;10793031,99
38007500,66;30326450,47;15083265,88
59172363,88;47281247,12;23791787,5
28009368,34;22376725,54;11359009,6
37714427,12;30198444,11;15169400,39
20508373,74;16459190,78;8236923,932
46525732,49;37347327,16;18627474,2
5416617,824;4383244,083;2128973,019
80179792,57;64137628,75;32239898,03
8618688,252;7020867,314;3651875,161
52364679,73;41962154,89;20974711,3
31374199,85;24949791,93;12316902,91
58176751,93;46794038,37;23113818
95983900,74;76964112,73;38373713,7
64911454,2;51912341,94;25943108,93
4500881,14;3638495,922;1959316,864
43609841,51;35020309,08;17444988,92
51491668,38;41176114,62;20638538,86
54081571,98;43338292,76;21799464,48
68457858,55;54876744,69;27451225,98
28482013,68;22684128,35;11327819,39
13757195,98;10945523,6;5341885,448
39874891,98;31992054,42;15875779,68
95684166,56;76593414,69;38338317,31
19525958,28;15713146,28;7836482,388
90494411,54;72382272,43;36203389,35
54836789,06;43840530,73;21915537,59
46234230,74;36787520,65;18460174,73
88322099,61;70543079,65;35193071,08
46401792,22;37126140,38;18529512,13
72692596,02;58236532,54;29307884,49
40503506,85;32455923,32;16147983,04
90500394,9;72387491,72;36165588,32
69312477;55422804,44;27652463,55
70262583,37;56231784,66;28160370,47
33444319,75;26763276,92;13483877,69
75921085,63;60877323,06;30388840,37
63970044,49;51190679,67;25552198,4
24762007,06;19661481,06;9802842,367
16893343,43;13387418,93;6746692,842
79842755,98;64026080,72;31939100,83
95957493,7;76648878,91;38286843,46
46355743,9;37161044,86;18343303,04
59507432,37;47579108,62;23651379,81
85914541,78;68714657,59;34346084,42
46265121,88;36998684,23;18589128,53
95235573,21;76310597,06;38184806,11
57999365,04;46380207,85;23080227,08
82255944,95;65801424,03;32760686,39
90975528,12;72627342,15;36331139,08
81736858,06;65410155,5;32539797,38
16782031,88;13478729,76;6845957,56
63260945,47;50632670,93;25322725,09
40444991,6;32495782,91;16087159,44
7208582,25;5772382,936;2789596,082
42979192,94;34413252,1;17134194,92
26609722,62;21452628,5;10648995
85054792,53;67888832,61;33795423
4297158,028;3392143,888;1608605,692
95939289,46;76894047,45;38378583,57
36181516;29038825,71;14448284,28
36313982,15;29119023,73;14672307,53
2616521,766;2176482,486;1098724,024
19338000,2;15503106,78;7652227,668
40724690,58;32742912,21;16337993,94
92999850,31;74437656,17;37130872,37
10861878,09;8713489,184;4326743,926
94584851,81;75683777,32;37929439,57
87079364,52;69682778,01;34866616,09
45962077,29;36653960,11;18555540,17
33343387,3;26751777,14;13413481,31
24041668,8;19220291,07;9518786,082
61832005,94;49647796,26;24904872,2
4274384,556;3411942,598;1813964,421
2545000,38;2078092,133;1148462,765
43450776,53;34785281,44;17283216,62
7739333,323;6128910,955;3049691,736
25942157,84;20852939,95;10539651,17
22894930,62;18506450,86;9084752,534
26065928,18;20851264,82;10375690,73
13974467,89;11149526,43;5432069,448
2191586,067;1717765,98;765625,9672
12432945,42;9757120,144;4777314,357
62229545,69;49765855,24;25007984,6
97451365,07;77986191,87;38969642,13
99044155,15;79340799,92;39584064,4
41496355,44;33293089,13;16542983,99
17132488,18;13664340,63;6846337,034
64237413,98;51362248,88;25680010,88
49540229,31;39744573,98;20006694,43
98951567,95;79143907,97;39621955,66
7465116,508;5921090,252;2817365,348
78540209,39;62971419,36;31422811,61
29551451,24;23744919,56;11979467,03
24900443,39;19922233,89;9899008,675
66587952,58;53210984,32;26778949,38
25360255,31;20087016,22;9933679,167
66920052,64;53595012,47;26854767,57
52213543,2;41681197,59;20754477,24
42984809,86;34191574,68;17044827,83
55914093,06;44889756,5;22554736,41
29418100,47;23599277,16;11786931,86
70950895,92;56646815,92;28404753,18
42070830,06;33535223,91;16814941,02
36694010,49;29442304,57;14796538,85
83037034,54;66341830,57;33082096,46
92571724,28;74186994,41;37071339,77
5554723,778;4505424,954;2295137,739
24030072,29;19277717,48;9553951,455
35503417,58;28443203,61;14384551,81
81681681,46;65364490,25;32604522,32
98563651,34;78938972,19;39439485,74
96928198,76;77497150,97;38647919,58
90589886,21;72480504,16;36025921,28
30359070,24;24362450,85;12360917,28
99209113,1;79423589,45;39691360,83
25692584,06;20434568,57;10172492,8
11484709,33;9137726,5;4548991,744
95144308,49;76140727,15;38212349,97
24108605,29;19246082,76;9526530,72
69287058,24;55607112,45;27871513,01
6777279,539;5382508,312;2648875,331
73340200,81;58655938,81;29268302,32
88290301,02;70709183,83;35411297,74
27971252,65;22410055,4;11303851,75
38526632,71;30806778,72;15351999,07
38055322,15;30368608,37;15107419,27
75130037,5;60134181,4;29950181,13
24542917,01;19738243,25;9979472,003
18013456,81;14458674,97;7171811,884
45479873,22;36306080,22;17968127,04
31142372,33;25087575,36;12684782,89
84079723,1;67119120,69;33422574,4
24536440,78;19470884,06;9813388,081
50736556,29;40685300,76;20360993,24
94315776,37;75475205,14;37766394,12
63765772,08;50957667,81;25420396,38
86861651,14;69379463,84;34726291,07
94080759,25;75496687,38;37581565,7
75325721,33;60272286,15;30194946,85
70257930,96;56259764,89;28285583,45
96828591,09;77494661,38;38835733,41
99445678,18;79600023,34;39598057,66
45730346,58;36638286,71;18220722,46
8016108,04;6486128,833;3224284,924
29986609,11;23951765,05;12024576,26
16083115,86;12837328,49;6407998,979
42331151,1;33690818,6;16796087,86
13997643,52;11120084,37;5619572,218
60807662,6;48673241,36;24453035,86
38897997,86;31222900,62;15588220,91
89643202,54;71774465,99;35960125,98
96811672,51;77415268,77;38449729,31
55141605,27;43986966,92;21899732,52
28207533,42;22288290,82;11112019,52
59630811,46;47819822,56;23861054,66
89779354,66;71764560,83;35915560,24
41266601,24;32968434,49;16585592,3
55655749,39;44537756,91;22319545,36
27893623,99;22174343,19;11024949,05
46088970,8;36836198,42;18265822,4
40769640;32818059,2;16464726,01
25592933,04;20524885,13;10078624,89
51080772;40900542,51;20515574,99
31727701,77;25223911,97;12593111,08
37930451,52;30568721,41;15166777,21
52972073,78;42235379,54;21146415,5
75308907,27;60439358,29;30219391,54
34017239,11;27002285,69;13497483,12
92491717,9;74133910,86;37058533,1
86369536,14;69257434,34;34670669,58
5820339,302;4573830,529;2379358,667
26110609,9;20930745,96;10515034,5
45167415,75;36188680,66;18195553,65
11358160,99;9005149,34;4498160,698
35499122,91;28254386,57;14289039,22
74269655,04;59283952,29;29699087,13
68370933,63;54750847,73;27321054,46
62616058,43;50084335,18;24932778,09
71342311,87;57017419,39;28529289,38
21287445,01;17126632,81;8432664,252
34828113,37;27913297,49;13859311,15
67948005,75;54282858,32;27165337,87
88044241,54;70315273,08;35096847,8
54824127,33;43911628,04;21862482,39
28987265,44;23136054,02;11564579,5
3993290,543;3204552,92;1609544,25
71323346,07;57216306,75;28587569,97
1780526,247;1474653,822;699572,219
37895227,91;30229955,63;15200442,09
53523184,24;42834613,51;21451549,49
92289034,71;73735963,28;36845639,03
9859959,958;8048820,182;4270842,284
41188289,87;32894474,02;16466620,19
3407006,771;2746332,492;1486366,759
34918487,45;27965563,22;13926683,51
62600874,83;50096624,91;24912018,36
28627726,87;22706326,6;11273987,65
21765245,02;17267553,91;8606975,975
12454620,1;9918461,052;4909569,705
58136884,16;46541450,51;23404363,87
69831730,58;55851606,55;27913799,16
67523756,92;53923290,79;27007792,28
94937241,05;75814950,41;37902827,09
1267618,175;973938,7859;443613,9597
65072468,74;52011127,38;26009363,29
60438831,47;48402348,82;24372579,56
59285221,39;47395545,26;23620977,77
96314261,66;77111680,1;38632539,09
2670295,664;2076771,554;935785,0518
69951760,64;55935812,74;27921943,73
81554186,32;65208544,42;32604630,53
51470912,47;41098493,28;20581884,15
34062522,09;27312529,54;13804577,63
79293176,16;63353181,33;31671582,4
10627049,64;8449475,559;4140376,219
44761528,14;35801910,54;17965959,47
52475285,08;41850490,1;20888828,07
69701684,68;55728854,25;27888295,28
9997687,471;7927019,341;3951887,427
23548190,65;18799737,1;9205522,866
41619854,71;33289890,96;16695775,4
62706172,63;50084946,74;25100810,17
88809117,34;71025286,29;35605303,62
62263790,66;49941899,4;25150995,98
14212685,62;11367568,64;5564273,944
98077433,15;78576472,73;39339887,11
87306787,74;69880079,64;34980969,32
50769355,35;40692900,34;20304541,97
92312450,2;73772514,26;36925967,75
54596698,58;43687849,58;21893889,49
92407300,72;73939231,87;36847747,55
83159839,49;66466609,02;33257926,79
96860354,62;77406000,86;38611202
92058498,27;73497772,07;36683700,39
4567347,925;3803492,304;1724271,671
18302428,41;14544702,44;7225015,128
39524333,03;31754088,53;15856687,2
95262127,03;76162952,31;38136461,84
30702863,03;24476041,09;12238110,54
16886296,74;13571289,31;6631415,84
88744161,94;70932210,36;35552319,99
45193047,13;36211283,6;18093783,14
90879683,84;72670465,9;36384070,01
16862816,17;13538295,38;6865741,303
66450633,64;53063688,31;26674104,63
44586111,53;35752024,33;18072134,86
8572190,134;6906549,375;3446050,812
69949851,32;55867915,99;27965070,44
25492476,8;20658275,01;10221301,4
4921936,735;3991561,691;2101940,862
6934485,527;5776635,128;2769828,82
7046775,17;5797446,918;2718198,29
90865562,79;72673566,75;36419821,98
74248507,87;59357579,12;29626619,91
89908173,36;71886192,77;36020857,11
67585648,82;53885516,2;26983565,56
53365052,97;42622458,87;21148229,17
31140190,07;24936828,66;12196446,39
99798262,88;79991206,06;39885942,86
36856716,83;29408096,28;14705697,29
47594245,97;38163602,44;18959623,59
38446272,32;30631758,52;15250603,11
97973166;78319900,8;39014056,33
18291180,15;14587180,06;7310577,828
33470812,09;26813830,78;13415997,98
68354517,94;54729345,31;27316533,39
7257554,216;5902277,547;3090845,304
61117688,03;48971234,12;24635388,56
48287003,78;38653919,85;19383486,64
29115997,7;23331834,65;11485940,21
24602914,81;19841184,92;9810123,444
51936761,59;41498316,65;20789871,36
37424830,47;30017337,21;14945812,85
46195469,24;36775561;18339071,35
34410260,79;27569342,06;13874567,77
97078875,67;77614775,58;38858475,27
14210503,74;11368660,11;5815745,5
10583591,36;8570881,716;4242519,928
34995781,15;28013089,3;14144067,19
59511663,19;47697849,3;23793511,53
66258470,71;53154153,05;26727025,68
40328417,97;32301643,77;16161405,35
99928521,4;80059921,23;39943909,64
35837406,62;28637269,2;14155512,65
72419260,13;57934587,11;28937146,33
64120686,76;51244287,47;25596520,46
81492332,46;65298163,73;32734848,06
97646340,68;78158481,68;39068181,79
89089571,99;71220934,14;35567223,87
76691635,46;61368775,25;30792091,37
70126599,3;56205436,28;28080235,48
34214318,8;27367528,24;13626139,94
15620872,24;12401804,51;6258363,148
7200964,303;5773962,618;2837998,487
24948268,72;19760558,41;9946159,421
43795866,64;35113570,37;17497093,48
52677631,09;42099972,11;21027690,14
77535271,85;61981286,41;31005860,9
95915351,38;76819850,67;38372512,7
12614727,56;9955265,759;4976287,732
11593409,88;9469437,768;4816266,081
59379777,58;47455797,86;23768959,11
74794409,32;59783202,36;29939698,17
84966887,65;68075632,6;33974273,26
93647375,94;74988770,28;37579668,12
98359197,98;78932481,36;39533196,91
40580367,53;32443173,43;16322028,63
38653183,17;30910505,87;15382616,35
15633058,99;12358515,6;6162011,939
68808509,43;55013597,32;27570152,05
66019433,89;52743403,98;26310820,48
86344196,99;69030480,89;34492628,2
10628541,48;8328414,412;4356787,78
50279913,87;40389991,86;20390172,03
58527111,04;46680028,48;23464008,3
24914146,96;19651097,29;9919407,159
17733515,21;14067969,72;6932059,747
86098502,81;68818418,29;34460465,37
6794957,301;5321010,435;2624593,558
47591469,49;38183005,94;18985645,78
12467566,13;9960268,985;4929233,909
46248817,37;37001592,46;18512362,74
98016270,31;78474055,42;39182292,15
42946928,99;34386144,45;17137992,28
85855366,83;68782150,2;34470279,25
12614240,85;9980444,928;5004633,112
27853955,6;22228412,67;11137552,14
40975481,33;32846981,78;16434678,13
40581401,86;32211666,04;16038262,71
67466964,39;53836053,06;26780969,34
35127094,61;28151774,91;14106943,93
71662919,97;57282311,07;28590451,87
64279503,02;51517213,17;25557528,36
40516953,38;32494480,73;16207983,64
43744252,64;34875592,82;17328574,62
61838242,28;49511259,53;24825494,79
7934176,824;6467511,245;3285918,145
82418267,1;65949357,12;33024367,87
65688694,95;52453209,47;26160100,57
72907903,98;58414262,18;29280286,25
54155377,11;43387844,14;21725887,05
11937233,99;9604048,269;4761038,681
41098525,72;32950414,46;16429873,49
41131984,7;32606126,48;16392334,05
32783256,01;26314698,57;13109988,88
3965082,166;3352878,914;1706805,104
73988170,02;59234199,86;29720495,63
11868661,35;9514201,978;4948035,252
61024505,17;48889248;24611011,31
70618532,15;56528648,27;28354406,41
63843845,97;51140254,9;25419536,32
95955082,95;76764213,46;38313201,89
11226517,35;8904543,397;4397462,98
86849548,75;69379206,73;34854918,35
3889833,25;3012047,427;1436091,92
53956768,64;43028110,66;21552671,97
41020118,18;32709320,34;16364746,88
52894202,18;42491488,36;21152231,46
37144887,83;29791319,83;14933842,32
19866124,58;15830396,92;7955028,071
2893166,847;2275494,209;1012169,616
52296831,57;41848721,01;21046648,25
84434909,41;67482373,02;33532535,51
37948379,62;30365455,38;15123651,98
23063517,98;18528574,8;9361484,43
8972668,344;7174560,402;3467954,417
9445781,389;7590226,685;3830139,935
22918248,18;18423247,7;9081987,811
10901392,03;8693900,449;4337647,81
27238930,14;21819623,17;10678434,27
7548796,75;6008099,64;2919792,65
7494881,854;5993052,596;2842234,153
85771341,78;68584600,4;34252123,83
17049905,81;13587037,66;6751995,692
56408558,18;45144217,73;22504742,45
77572098,9;62114333,65;31136958,15
46184546,97;36962268,02;18392446,05
16183518,91;12996687,82;6561782,578
20760018,07;16534221,28;8430038,216
43865436,42;34971975,62;17499894,22
53295174,83;42677844,21;21253155,09
35594588,91;28544459,27;14147295,78
78366480,42;62698170,07;31278106,52
75351143,24;60415718,17;30278323,36
92793968,93;74325945,02;37178531,59
3866302,354;3361098,967;1774229,005
89673437,83;71718669,41;35936367,79
39864310,06;31791563,17;15909862,65
87958877,04;70293087,96;35193892,8
69387692,84;55453604,49;27912326,87
98747526,95;79045624,7;39664377,97
76168962,72;60719363,32;30329407,06
37089917,97;29803789,48;15000862,68
50605254,11;40460273,63;20288721,9
38262526,36;30585341,74;15406309,68
37126271,77;29593083,1;14863703,21
26829545,44;21452213,8;10628690,15
50101059,24;40082171,37;19879117,23
68492254,56;54781609,16;27448067,28
28456686,86;22799255,41;11589889,53
52913601,3;42271917,83;21058392,51
12620649,12;10006937,72;4984659,887
16824683,4;13514579,53;6653714,993
5633829,117;4516930,039;2376247,97
97102412,83;77701648,37;38620307,5
1382174,8;1211642,565;379455,2524
18679416,84;14841277,03;7458140,508
61673808,56;49253522,8;24618527,04
9055590,286;7370194,194;3637134,796
88307753,81;70497914,71;35218847,88
72242395,63;57662975,29;28885186,43
96672607,17;77419871,92;38668555,56
51255919,18;41028555,36;20404585,18
30739964,63;24602494,92;12208511,17
55400556,71;44311279,42;22244473,6
93151053,01;74523969,16;37209510,39
52555382,29;42035094,62;20879019,55
27453496,15;22098341,19;11059388,43
87862480,13;70250169,29;35175584,12
37819956,1;30239827,53;15252809,84
1136951,65;1089006,2;566293,4389
25520817,23;20419404,75;10143731,25
32505117,41;26227295,57;13161048,57
86018969,35;68804677,51;34475056,24
46391813,54;37250192,33;18621205,63
45014141,49;35845778,79;17918429,46
34274124,37;27434663,94;13743345,26
88187134,18;70391259,99;35188644,34
94557650,92;75730566,16;37890294,47
99197142,59;79236427,29;39516022,31
38297385,43;30666285,3;15218098,87
96648597,12;77290658,11;38561717,92
79396077,39;63401041,6;31764741,89
67893225,62;54152644,5;27102202
25244058,46;20144142,72;10176095,26
22429268,83;18117478,01;9040069,913
17438734,63;13921639,2;6846455,459
92352904,41;73974045,68;37101478,2
30113589,58;24085167,37;12040706,98
45856330,3;36772736,92;18514713,96
